Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-5112,-2504,-16320,11,122,-56
-5036,-2400,-16280,46,-4,-34
-5064,-2476,-16180,76,-47,-82
-5080,-2484,-16320,25,-35,-12
-5044,-2460,-16452,-91,-26,11
-5040,-2472,-16368,-31,-31,-29
-4988,-2452,-16432,29,55,-59
-5056,-2492,-16408,25,4,-82
-5172,-2480,-16472,15,106,-73
-5056,-2432,-16564,7,217,-36
-4988,-2412,-16452,-30,146,-51
-4952,-2468,-16364,1,31,-65
-5000,-2396,-16356,32,32,5
-4908,-2404,-16216,24,35,-4
-4992,-2348,-16232,36,-6,34
-4992,-2444,-16316,37,5,25
-4996,-2508,-16364,-16,-70,41
-4996,-2464,-16360,-19,-58,37
-5076,-2472,-16376,-27,-76,-24
-5040,-2436,-16416,-43,-28,-12
-4996,-2432,-16496,-59,-31,43
-5056,-2364,-16476,66,-29,36
-5044,-2480,-16368,102,-6,20
-5052,-2416,-16388,69,3,-24
-5088,-2440,-16436,17,-5,-35
-5016,-2256,-16328,56,115,-18
-4984,-2492,-16364,22,-193,37
-5096,-2476,-16396,-104,-181,50
-5092,-2388,-16472,-197,-101,101
-5072,-2400,-16472,-244,-99,135
-5088,-2400,-16472,13,-59,118
-5128,-2392,-16472,131,-45,55
-5192,-2460,-16476,101,34,68
-5156,-2620,-16444,-3,96,19
-5140,-2620,-16624,-35,153,-5
-5108,-2400,-16408,-99,79,2
-5068,-2408,-16452,-87,118,4
-5048,-2388,-16336,13,56,-36
-4952,-2452,-16184,46,10,-85
-4968,-2504,-16316,-8,-68,-66
-4956,-2432,-16144,-11,-72,-87
-4948,-2324,-16208,-127,-65,-15
-4892,-2340,-16220,-196,-111,35
-4884,-2272,-16232,-170,-190,-19
-5000,-2208,-16312,-109,-268,39
-4908,-2268,-16472,-163,-330,84
-5116,-2228,-16436,-107,-296,119
-5200,-2432,-16504,-87,-228,155
-5760,-2572,-17460,-168,-155,-365
-6096,-2588,-18104,-163,57,-744
-6640,-3316,-18748,62,594,-2123
-6816,-3092,-19976,-260,928,-2655
-7820,-3060,-23012,-219,2259,-3118
-8084,-3200,-24628,230,3007,-3838
-8176,-3180,-26020,774,3770,-5024
-8508,-2768,-27172,1453,4481,-5702
-9844,-1368,-28936,3987,7888,-5576
-10572,-824,-28088,7138,9752,-5978
-10744,-1416,-27420,9594,11822,-6236
-11132,-1624,-25936,12539,13860,-6898
-9024,-3664,-22732,17802,17315,-8389
-7956,-5312,-22004,18191,16842,-9187
-7768,-6732,-22660,16443,16934,-9385
-7152,-7116,-20420,11695,20432,-9308
-6848,-6756,-19552,10688,21364,-10064
-6596,-7216,-19668,10289,22034,-10105
-6456,-6768,-17388,8777,23539,-11173
-6072,-5956,-16628,8372,25404,-11110
-5404,-5924,-15800,7309,27484,-9859
-3844,-4756,-13888,5761,28810,-8507
-840,-3520,-11140,4200,29119,-6875
-136,-3092,-10580,4447,28444,-6612
164,-2820,-10336,5093,27534,-6584
-92,-2696,-11000,5820,28105,-6774
300,-2388,-10352,5943,31386,-5515
1600,-2000,-9280,5538,32254,-4469
2588,-1892,-8248,5541,32767,-3600
3556,-1740,-7136,6538,32636,-3197
5580,-1636,-5700,9607,31326,-3081
5944,-1608,-5024,10962,31141,-3027
6028,-1612,-4736,12209,31484,-2664
6196,-1768,-3892,13783,32092,-2324
7828,-3560,-2276,14338,31653,-873
8944,-4276,-1520,12598,30889,253
9876,-5004,-412,10349,30145,1382
10948,-5300,556,8289,28644,2217
13100,-5312,2004,5566,25225,3640
12092,-5824,1084,7056,24699,4076
12344,-6532,1120,6602,25333,5204
13832,-7412,1872,6407,24548,5855
15040,-9024,2552,4506,19860,5791
14628,-8696,2668,3621,17548,5615
14104,-8716,2740,3983,16602,5307
13700,-8560,3000,4740,16116,4759
13436,-9312,3024,4761,13595,4457
12940,-9216,3164,3499,12932,4974
12800,-9304,3244,2507,12472,5597
12844,-9600,3388,1579,11618,6044
13056,-9968,3664,299,9123,6623
13316,-9824,3776,787,7977,6536
13732,-10368,4428,2246,6625,5937
13864,-10872,4728,3515,4784,5008
13588,-11748,4100,4023,962,3606
13224,-12232,3572,3240,-210,3626
12868,-12148,3280,2646,-1168,3436
12704,-12348,3208,2381,-2072,2929
12056,-12328,2316,1143,-3589,1711
12344,-12396,2648,552,-4007,1341
12068,-12364,1696,-41,-4129,814
11524,-12116,1012,-888,-3791,459
11576,-12212,212,-2375,-3622,39
11396,-12276,-220,-3405,-3100,-68
