Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-9188,-1596,-14576,-104,-410,30
-9296,-1596,-14716,-99,-331,41
-9380,-1652,-14696,-100,-205,-26
-9272,-1588,-14692,-58,-33,-79
-9168,-1528,-14744,-83,-78,-102
-9160,-1464,-14684,-124,-20,-52
-9120,-1432,-14524,-12,-85,-26
-9140,-1424,-14608,110,-120,-14
-9176,-1496,-14520,50,-147,107
-9208,-1468,-14564,76,-141,32
-9220,-1528,-14432,139,-179,9
-9240,-1540,-14428,52,-98,58
-9224,-1576,-14424,-20,-63,-9
-9168,-1492,-14480,199,-192,-8
-9224,-1500,-14324,208,-134,25
-9180,-1632,-14404,101,-149,112
-9172,-1692,-14376,-22,-289,92
-9148,-1616,-14440,49,-378,61
-9228,-1784,-14532,45,-468,96
-9280,-1808,-14524,61,-496,-17
-9252,-1720,-14548,87,-463,-112
-9256,-1712,-14448,173,-462,-111
-9316,-1712,-14544,154,-367,-208
-9280,-1764,-14400,94,-252,-146
-9216,-1764,-14312,-3,-295,-114
-9144,-1664,-14268,-49,-419,-167
-9032,-1504,-14244,152,-722,-267
-9100,-1384,-14356,217,-953,-247
-9184,-1372,-14308,221,-1140,-209
-9276,-1392,-14476,205,-1369,-191
-9652,-1084,-14972,173,-1895,-251
-10200,-576,-15624,530,-2059,-689
-10908,20,-16468,1677,-2233,-1580
-11804,836,-17916,3619,-2602,-3222
-15064,2360,-21764,7973,-2264,-6162
-17316,2448,-23692,10931,-1161,-7586
-19428,1704,-25228,14537,323,-8781
-21396,-236,-26436,17407,3201,-9770
-23520,-3908,-27724,19221,11065,-11503
-23716,-5720,-26864,18839,16300,-11641
-22588,-6624,-25660,17638,20529,-11854
-20884,-6976,-24216,15682,23878,-11847
-19632,-7380,-20604,11565,29986,-10635
-18712,-7992,-18644,9309,32767,-9862
-16896,-7516,-17292,7797,32767,-9994
-14060,-6048,-14724,6400,32767,-9855
-12044,-4728,-13608,5623,32767,-9311
-10144,-3680,-12820,5944,32767,-8948
-9392,-3072,-12936,6571,32767,-8873
-8376,-2440,-11820,6844,32767,-6825
-7136,-2248,-10556,6578,32767,-5278
-6116,-2340,-9536,7587,32767,-4402
-5192,-2652,-8600,9555,32767,-4154
-2968,-3144,-7148,11753,32767,-4756
-2112,-3092,-6004,11883,32767,-4467
-1852,-2796,-5624,12885,32767,-3919
-1640,-2984,-4992,13506,32767,-3039
1476,-2976,-1760,14352,32767,-967
2148,-4008,392,15194,32767,-276
4460,-3464,2756,14511,32767,254
6100,-4272,4604,14703,32767,484
8328,-4808,6472,16963,32767,1053
9708,-5636,7156,18075,31653,1293
10756,-6876,7852,18618,27853,1381
11668,-8312,8252,17823,24222,1329
12468,-10028,7776,13912,18435,214
12164,-10412,7368,10930,16958,82
12184,-9928,7244,8200,15996,318
12344,-9604,7048,6173,14980,520
13024,-8872,7692,3795,12306,784
13508,-9044,7728,3233,10742,1160
13788,-9140,7648,2828,9177,1487
13868,-9432,7540,2439,8000,1995
13968,-10092,7248,1746,6163,2760
13684,-10184,6820,2040,4889,2680
12828,-10452,5732,2582,3983,2134
11888,-10800,4820,2561,4114,1818
11504,-10700,4516,2507,5130,1114
11892,-10856,4696,2370,5171,873
12272,-10920,5128,1661,4858,751
12788,-10816,5536,1272,4253,693
13304,-10624,5752,961,1978,686
12912,-10604,5080,809,1025,697
12164,-10684,4264,79,1047,984
12084,-10484,3768,65,967,924
11872,-10576,3708,311,947,874
11832,-10432,3280,235,987,779
11916,-10444,3272,512,950,844
12176,-10612,3280,928,613,824
