Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-5896,-1056,-16308,-266,-39,7
-5872,-860,-16276,-108,63,83
-5860,-1176,-16236,75,-32,43
-5948,-1236,-16332,-193,68,56
-5900,-1028,-16352,-197,62,51
-5988,-1080,-16328,-63,94,-23
-5976,-1168,-16340,-73,132,-56
-5904,-1024,-16196,-34,376,-85
-5832,-1112,-16200,77,365,-121
-5704,-1180,-16056,-5,218,-140
-5716,-1052,-15996,-73,104,-191
-5788,-1100,-16108,-108,4,-200
-5848,-928,-16184,-218,82,-159
-5836,-692,-16176,-186,52,-137
-5824,-624,-16144,-39,61,-186
-5800,-600,-16156,-9,2,-101
-5864,-704,-16168,55,-8,-95
-5896,-772,-16224,147,-92,3
-5964,-740,-16284,91,-47,26
-5980,-780,-16328,237,-26,10
-5944,-844,-16468,381,43,-22
-6032,-900,-16272,381,94,-23
-5836,-1084,-16196,252,137,63
-5784,-1064,-16164,136,88,135
-5788,-1092,-16160,-29,44,164
-5856,-1060,-16188,-8,63,222
-5832,-1096,-16148,130,21,181
-5892,-1192,-16256,230,5,-40
-5852,-1188,-16088,178,-5,-27
-5808,-1216,-16156,217,60,8
-5764,-1160,-16088,228,63,-44
-5812,-1320,-16032,248,36,-30
-5768,-1256,-16136,-29,-39,-21
-5748,-1160,-16076,-84,-59,-1
-5764,-1004,-16128,14,-54,-27
-5816,-1116,-16096,130,-76,-62
-5732,-1140,-16068,139,-119,9
-5708,-1156,-16076,71,-199,-3
-5704,-1204,-16120,90,-271,-5
-5732,-1168,-16204,107,-240,-76
-5792,-1224,-16184,147,-247,-123
-5632,-1112,-16028,64,-358,-112
-5640,-1100,-15960,5,-416,-157
-5520,-912,-15924,-40,-462,-116
-5468,-944,-15952,-100,-635,8
-5488,-936,-15892,-172,-841,5
-5308,-900,-16120,-117,-1159,-91
-5316,-1028,-16224,-95,-1338,-133
-5384,-1200,-16640,-314,-1440,-175
-5504,-1280,-17088,-823,-1479,-103
-6236,-1352,-18620,-2467,-1890,-539
-6732,-560,-20052,-3662,-1807,-1165
-7252,840,-21528,-4060,-1917,-2264
-7924,1772,-22732,-3223,-1725,-3745
-9704,4016,-25772,286,-1874,-7031
-11376,4992,-27624,2769,-1075,-7820
-13368,4840,-28588,5625,1985,-7635
-14260,3296,-28864,8415,5643,-7341
-14388,-1024,-28464,7871,11601,-7779
-14104,-1020,-27304,6359,14585,-7307
-13144,-760,-25476,5773,17557,-6588
-12060,-400,-24208,5504,19535,-6210
-10936,-212,-21396,6701,24465,-5619
-10044,-304,-20292,7026,26680,-5141
-9608,-144,-19388,7263,28356,-4916
-9316,276,-18356,8202,30501,-4876
-8860,48,-16896,11373,32767,-3924
-8256,-944,-15816,11202,32767,-2349
-7296,-532,-14788,11081,32767,-1301
-6784,-1180,-14136,11027,32767,198
-4660,-2056,-11648,12435,32767,2862
-3196,-2984,-10088,11189,32767,3747
-2112,-3328,-9332,10357,32767,4406
-1148,-3400,-8024,10355,32767,4766
1216,-2964,-6632,12731,32767,4339
1128,-2676,-6720,14770,32767,4257
1000,-2984,-6284,16126,32767,5118
1792,-3452,-5344,16254,32767,6169
4784,-4880,-2352,16111,32767,6540
5996,-5868,-1572,15746,32767,6018
6772,-6160,-1056,14976,32735,5477
7456,-5812,-732,15140,29627,4856
7460,-6028,-192,14947,27253,5589
8292,-5788,736,15752,25839,6138
8912,-6960,1520,16812,24589,6305
9212,-7640,1476,16666,23414,6282
10244,-8660,2644,16790,20121,6213
10916,-9524,3076,15775,18357,6041
11348,-9524,3328,14131,16242,6100
11568,-9496,3908,12996,14937,6816
12196,-9804,4788,9724,13992,10263
12960,-9744,5328,8498,12012,11707
12820,-9700,5068,8358,9963,12483
12336,-10040,5192,9123,9125,12639
12532,-11604,5624,11646,7410,10958
12388,-12240,5732,11954,6285,9568
12396,-12668,5764,12031,4705,8479
12348,-13296,5536,11177,3037,7750
11704,-14056,4880,7458,1473,7257
11692,-14148,4700,5479,994,6994
11792,-14120,4884,4245,149,6378
11664,-14208,4760,3643,-543,5522
11060,-14004,4160,4078,-1295,3348
10776,-14312,3724,3698,-1135,2751
10692,-14480,3204,2581,-898,2354
10260,-14416,2668,1449,-316,1898
10148,-14228,2616,177,390,776
10076,-13968,2436,-452,592,199
