Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-80,-3484,-16848,130,-127,-114
-408,-2800,-17288,2858,492,-802
-408,-3092,-17232,4679,828,-878
-312,-4064,-17048,4836,1020,-747
48,-4288,-16740,2518,805,-329
-60,-4168,-16592,1575,701,-143
68,-3912,-16616,1153,485,76
164,-3880,-16624,823,300,148
304,-3840,-16264,367,345,321
364,-3908,-16356,42,-62,246
368,-3944,-16432,-229,-428,210
192,-3844,-16472,-511,-474,238
92,-3884,-16552,-827,-571,364
96,-3812,-16764,-822,-594,422
-20,-3912,-16800,-860,-606,441
36,-3808,-16712,-808,-667,607
-260,-4124,-16988,-312,-755,334
-384,-4296,-17140,-344,-525,202
-448,-4332,-17156,-461,-210,-17
-436,-4096,-17096,-495,42,-34
-180,-3944,-16880,-220,206,-45
-136,-3880,-16828,-231,74,-109
-184,-3788,-16804,-139,39,-48
-228,-3864,-16836,58,128,-44
-68,-3844,-16776,160,95,-100
-84,-3736,-16596,187,55,-112
-20,-3856,-16612,60,32,20
0,-3756,-16640,-103,-88,147
80,-3692,-16504,-205,-154,165
108,-3672,-16564,20,-243,137
92,-3860,-16652,184,-457,102
-64,-4012,-16524,85,-535,55
-24,-3964,-16680,41,-605,-1
-52,-4000,-16792,213,-695,-90
-284,-4084,-16852,76,-591,-157
-316,-4076,-16940,-103,-407,-69
-440,-4048,-16988,-309,-146,-8
-240,-3992,-16736,-504,-66,48
-184,-3832,-16816,-252,-332,-128
-320,-3800,-16776,-6,-456,-230
-444,-3804,-16884,42,-423,-279
-424,-3848,-17144,3,-251,-245
-400,-3756,-17016,-60,88,-140
-348,-3796,-16872,-81,12,-133
-360,-3832,-16776,-116,88,-90
-312,-3684,-16736,-339,223,-5
-164,-3512,-16680,-252,-36,86
-204,-3528,-16692,-115,-84,64
-156,-3524,-16712,29,-232,-14
-248,-3524,-16788,147,-411,22
-448,-3824,-16920,-112,-63,153
-356,-3804,-16892,-328,220,201
-252,-3672,-16704,-268,274,194
-140,-3568,-16656,-180,152,202
4,-3560,-16452,-213,142,303
236,-3384,-16800,-108,-105,261
128,-3444,-16804,-169,-216,343
-60,-3280,-17088,-522,-292,353
-212,-1636,-18168,-1187,-424,888
-436,-1140,-18840,-1593,-356,1478
-1000,-600,-19744,-2439,-81,2035
-1480,796,-20064,-3366,593,2456
-2012,4216,-20084,-2778,2720,3427
-1888,5520,-19284,-1606,3776,4506
-1712,6200,-18304,-522,4529,6026
-1348,6368,-17712,473,4967,7667
-536,5168,-16644,1423,4507,10878
40,4200,-16892,1251,3883,12595
192,2836,-17244,376,2301,14107
-844,1864,-18080,-760,840,15025
-3484,1676,-19484,-842,1919,15154
-4008,1676,-20404,-518,2521,15101
-4376,1804,-21160,-293,3071,15217
-4804,1704,-21568,-448,3897,15994
-5252,1456,-21872,-1672,6202,18527
-5160,1320,-21372,-1905,7298,19585
-5180,1028,-20620,-1687,7678,20602
-5168,380,-20204,-1809,7740,21361
-5940,-648,-19572,-2084,7469,22290
-6328,-1432,-19688,-2534,7978,22546
-6320,-1832,-19488,-3053,8718,22739
-5976,-1932,-19240,-3416,9364,22820
-5360,-1728,-18296,-4129,10175,23310
-4908,-1784,-17460,-4279,10553,23816
-4420,-1816,-16868,-4467,10667,24092
-3728,-2164,-15952,-4647,9877,24061
-3564,-2220,-15804,-4674,9034,24217
-3688,-2600,-15760,-4363,8280,24328
-3780,-3124,-16188,-3908,7612,23870
-3912,-3764,-16828,-3753,7198,22851
-4020,-3876,-16748,-3891,7448,22812
-3748,-4032,-16644,-3860,7734,22795
-3088,-4744,-15724,-3743,7051,22208
-2928,-5312,-15528,-3577,6661,21528
-2556,-5640,-15428,-3636,6122,20526
-2348,-5700,-15172,-3743,5399,19737
-1968,-5424,-15284,-3674,4526,18733
-1820,-5596,-15364,-3360,4291,18508
-1716,-5840,-15092,-3152,4268,18259
-1072,-6320,-14736,-1780,3821,17118
-904,-6812,-14644,-1563,3600,16623
-492,-7152,-14548,-1680,3398,16101
-64,-7428,-14364,-1668,3077,15337
680,-7952,-14160,-1856,2268,13478
988,-7936,-14196,-2131,1831,12621
1128,-7772,-14388,-2241,1440,12006
1204,-7588,-14308,-2258,1120,11506
1304,-7464,-14648,-2296,580,10766
1372,-7812,-14808,-2165,341,10453
1504,-8268,-14740,-2102,49,9834
1592,-8856,-14792,-2249,-166,9071
2100,-8796,-15424,-3033,-908,6746
2188,-8140,-15676,-3276,-1427,5544
1996,-7260,-15956,-2924,-1797,4698
1860,-6620,-16212,-2259,-2158,4213
1788,-6380,-16788,-1734,-1942,3876
1828,-6264,-16752,-1979,-1769,3776
2020,-6136,-16916,-2007,-1711,3427
1728,-5600,-17204,-1626,-2237,2472
1532,-5488,-17196,-1111,-2012,2129
1344,-5456,-17216,-615,-1646,1802
1500,-5456,-17236,-397,-1433,1584
1600,-5368,-17236,-154,-1494,1114
1388,-5300,-17308,-94,-1294,920
