Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-4640,-1156,-16536,437,-115,-189
-4568,-1096,-16548,407,-214,-141
-4632,-1120,-16564,393,-192,-112
-4576,-1272,-16684,339,-259,-79
-4740,-1284,-16772,384,-292,-39
-4772,-1336,-16784,421,-236,-36
-4848,-1384,-16828,366,-179,-20
-4920,-1428,-16852,-49,-48,23
-4796,-1400,-16820,-93,-62,10
-4816,-1428,-16792,-72,-155,-40
-4936,-1392,-16908,-123,-181,-79
-4952,-1264,-16988,-209,-142,-83
-4964,-1316,-17024,-221,-80,-149
-4972,-1344,-16972,-186,19,-156
-4992,-1240,-16924,-200,71,-96
-4888,-1332,-16844,-350,154,-126
-4896,-1252,-16784,-409,168,-119
-4908,-1184,-16700,-356,187,-181
-4788,-1224,-16740,-256,242,-200
-4744,-1108,-16536,-35,246,-278
-4584,-1020,-16488,80,227,-347
-4504,-1076,-16532,109,254,-342
-4432,-1024,-16368,60,244,-215
-4504,-980,-16372,186,85,-105
-4460,-1112,-16392,237,-36,-80
-4516,-1140,-16484,255,-40,-54
-4624,-1232,-16544,285,-29,-22
-4664,-1392,-16596,128,-252,-4
-4760,-1336,-16680,14,-288,-3
-4788,-1292,-16740,26,-262,-28
-4832,-1348,-16756,-73,-216,36
-4928,-1268,-16840,-122,-130,13
-4876,-1300,-16776,-221,-79,82
-4840,-1532,-16676,-575,20,211
-4776,-1836,-16880,-1347,116,361
-4580,-2196,-16752,-3003,318,407
-4468,-2308,-17012,-4703,658,952
-4472,-2472,-17584,-7531,1418,2450
-4728,-3016,-18904,-13653,3239,5725
-6112,-5528,-20776,-32768,11894,15905
-5088,-6144,-18008,-32768,16570,19702
-2908,-5356,-15320,-32768,18521,21205
-732,-1368,-10168,-32768,17431,20973
152,1468,-8620,-32768,17385,18995
720,6296,-9572,-32768,15461,16658
3408,9108,-4584,-32768,8668,13208
616,17108,-6592,-32768,-2503,5962
-568,18560,-8148,-32768,-5377,4119
-1892,17132,-8944,-32768,-5529,2990
-2140,15300,-10196,-32768,-4609,2974
-3720,14660,-9956,-32768,3263,3417
-1604,15644,-7676,-32768,5726,3556
-1752,15872,-6828,-32768,7351,3080
80,17492,-3628,-27519,7027,1886
260,18276,-2524,-24378,6978,2038
472,18444,-1520,-22419,6569,2827
712,18456,-1096,-21540,6196,3980
1132,17816,-732,-20109,2591,5127
596,17212,-1520,-19154,1337,5264
288,16648,-2304,-17991,1084,4823
424,16212,-3080,-16043,972,3524
532,16376,-3272,-11997,1790,772
308,16884,-2772,-11474,2734,905
456,17160,-2060,-12010,3852,1824
992,17380,-1288,-12826,4739,3067
2568,16744,284,-11146,3306,2646
3120,16636,404,-8790,1567,1097
2956,16812,156,-7118,-236,76
2564,17244,-696,-6088,-1383,-423
944,17572,-2968,-5730,-2101,-911
420,18024,-4172,-6264,-1663,-692
128,18836,-4908,-6316,-1283,-550
-184,19380,-5584,-5126,-852,-526
-1336,19144,-6536,-2314,-398,-1104
-1920,19208,-7136,-1454,-12,-1500
-2508,19580,-7428,-758,586,-1682
-3016,20120,-7720,32,1400,-1465
-3508,21028,-7124,2346,3993,-269
-4076,20624,-6688,3078,5603,472
-4560,20592,-5852,3782,7245,958
-5080,20564,-5900,3766,8462,1046
-6900,22044,-3992,3870,11229,1347
-7592,22120,-3844,4691,11930,1512
-8832,21836,-3404,5656,12473,1752
-9432,20592,-3600,7033,14217,2322
-9136,16504,-3416,8058,19014,1376
-8900,15160,-2616,8244,22820,-138
-8324,14076,-1552,7308,26200,-650
-7996,13448,80,5867,29493,-207
-5828,12296,4320,2171,32767,1449
-4532,11748,6716,-130,32767,2030
-2972,11876,8432,-1553,32767,2201
-1420,11996,9940,-1802,32767,2274
336,11716,11336,215,27616,1485
1152,11232,11232,657,24944,744
1272,11008,10812,546,22137,75
1300,11100,10556,-116,19845,-329
1432,11436,9412,-888,16509,-501
1232,11548,8820,-862,15213,-1031
1088,12124,8460,-816,14566,-1814
1388,13000,8228,-669,13719,-2604
1376,15640,8396,414,11129,-3365
1536,16444,8412,1050,10384,-3335
1960,17172,8284,1524,8767,-2992
1988,17632,8052,1570,7125,-2290
1652,17624,7184,2129,4656,-346
1688,17184,6648,2565,3693,-52
1672,16504,6148,3119,2540,-183
1540,15928,5628,3412,1297,-377
1068,14884,4528,3238,-1118,-718
604,14396,3788,2647,-1852,-885
392,14460,3140,2029,-2294,-1074
192,14608,2316,1603,-2766,-1208
-452,15076,1472,1345,-2932,-1662
-616,15260,1076,1429,-2892,-1870
-740,15392,628,1532,-3012,-2069
-988,15448,288,1402,-2967,-2137
-1224,15824,-404,657,-2546,-2156
-1164,16072,-444,359,-2375,-2354
-1188,16796,-472,288,-2166,-2336
-1180,17324,-444,523,-1946,-2243
-988,17864,-788,1304,-1855,-2092
-1080,17896,-920,1370,-1668,-1777
-1168,17964,-920,1140,-1151,-1333
-1100,18152,-940,822,-621,-982
-436,19332,-592,1107,-736,-678
-588,19544,-448,1693,-780,-154
-644,19436,-340,2182,-462,407
-588,18832,-140,2363,-261,928
