Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-2952,-796,-17280,323,-352,-10
-2860,-924,-17236,345,-181,-22
-2824,-968,-17304,175,-222,6
-2828,-784,-17144,45,-201,25
-2840,-768,-17112,154,-254,87
-2836,-996,-17188,164,-321,113
-2924,-960,-17112,162,-437,10
-3076,-1056,-17340,217,-395,-94
-3104,-1020,-17292,192,-358,-99
-3212,-1028,-17484,-56,-150,-31
-3192,-756,-17456,-152,14,5
-3212,-920,-17492,-7,349,16
-3180,-980,-17424,-85,416,-32
-3020,-908,-17168,-98,334,-89
-2976,-880,-17132,-18,176,-122
-2916,-844,-17088,25,55,-216
-2904,-760,-17096,99,31,-274
-2924,-824,-17068,6,75,-206
-2892,-808,-17136,-143,83,-155
-2900,-688,-17344,-178,166,-102
-2888,-700,-17180,-138,288,-114
-2660,-672,-17160,23,196,-173
-2632,-640,-16996,53,197,-199
-2468,-468,-16852,238,282,-93
-2444,-524,-16876,218,179,-9
-2336,-448,-16844,202,35,62
-2408,-448,-16720,276,59,91
-2420,-676,-16828,504,-113,185
-2384,-684,-16980,470,-137,179
-2492,-768,-16824,484,-43,188
-2500,-716,-17000,517,-18,285
-2368,-900,-16988,271,-147,413
-2432,-1000,-17048,182,-218,438
-2508,-1064,-16992,145,-383,432
-2512,-1136,-17208,183,-552,397
-2860,-1184,-17632,351,-344,152
-2952,-1148,-17832,510,-201,103
-3000,-1180,-17752,616,-2,29
-2976,-1164,-17724,559,88,48
-3048,-1416,-17616,237,355,61
-3072,-1328,-17492,146,435,32
-3040,-1268,-17248,120,405,-5
-3164,-1236,-17284,64,383,-20
-3132,-1076,-17156,122,418,-190
-3040,-1188,-17008,215,374,-265
-3104,-1152,-16996,203,332,-282
-3136,-1120,-17020,224,362,-279
-3144,-1096,-16884,171,606,-352
-3008,-1080,-16908,180,497,-394
-3052,-992,-16976,62,409,-488
-2980,-848,-16872,-84,392,-467
-2840,-740,-16736,29,185,-380
-2808,-832,-16752,-32,136,-344
-2684,-732,-16780,-142,91,-274
-2584,-840,-16664,-322,1,-267
-2536,-1096,-16792,-839,-79,-62
-2200,-1620,-17048,-1757,179,363
-2080,-2948,-17188,-4640,729,1612
-2128,-4672,-18596,-12057,1710,4023
-4064,-9496,-18900,-32768,10487,14675
-1872,-10096,-14564,-32768,15350,19366
992,-8856,-11708,-32768,16281,21807
4512,4920,-6908,-32768,8041,23023
4388,9992,-5292,-32768,3313,21610
4212,15520,-4308,-32768,-1362,17453
3776,19184,-6120,-32768,-6541,10132
-252,20528,-10068,-32768,-13264,-2130
-2472,20076,-12424,-26200,-12672,-4436
-5256,18728,-15180,-20813,-8532,-4041
-5728,14448,-14700,-24581,7650,-57
-4108,15220,-11916,-25968,11387,1121
-2516,16036,-8952,-26956,13202,2151
-1784,17032,-6132,-25798,14199,2949
644,16620,-3280,-19317,12617,2571
616,15984,-2932,-17822,11406,2876
764,15148,-2816,-17089,10228,3470
884,14508,-2628,-16971,9224,3576
1512,14088,-2296,-13615,6642,1323
1392,14232,-2660,-11618,4728,-28
384,13924,-2676,-11065,4300,-126
36,13724,-2688,-11829,5771,429
1596,13988,-1424,-13485,6858,634
2476,14776,-792,-13103,6065,250
2988,15500,-180,-11878,4782,-324
3360,16028,-332,-10315,3414,-784
3328,16312,-1220,-9519,1206,-1025
2996,16532,-2076,-10392,578,-531
2604,16896,-2876,-11197,-410,-352
928,19060,-4948,-10693,-2033,-240
-180,19452,-6128,-9644,-1511,299
-1124,19244,-7732,-8275,-864,640
-1700,18612,-9200,-7341,-214,440
-3428,17740,-11520,-5960,4293,63
-3560,18004,-11244,-5428,6118,-381
-3844,19260,-10908,-4490,7667,-271
-4568,19668,-10412,-3377,9671,622
-4784,18724,-8696,-1929,13849,2294
-4812,18028,-7128,-1767,16500,2955
-4192,17504,-5732,-1835,18723,3213
-3148,17096,-4080,-1309,19680,2858
-2484,17388,-1800,1263,19079,789
-3060,17592,-960,1933,18883,627
-3560,17508,-228,2208,19287,1286
-4008,16612,340,1807,19750,2185
-4616,14796,1672,134,21844,2979
-4580,14092,2936,-658,22388,2761
-4952,13476,4804,-1065,23063,1971
-5004,12944,6344,-1678,24143,765
-2988,14440,8024,-2844,21832,-739
-2484,15752,7920,-905,17615,-1896
-2992,16544,7288,2127,14916,-2636
-3524,15860,6672,4563,14122,-2797
-3412,13212,6032,3870,16314,-1988
-2876,13040,6516,1603,17211,-1529
-2156,13868,7212,274,17444,-1105
-1584,14920,7972,1017,16752,-1279
-332,14920,7872,4595,14958,-2269
-136,14440,7736,4524,14043,-2160
-180,14268,7832,3594,13358,-1787
160,14264,7996,2452,13115,-1713
1248,14916,8332,366,9845,-1893
1340,16084,8400,516,7612,-2318
1320,16800,7832,1138,5632,-2608
1008,17464,6928,1882,3658,-2732
256,17708,5260,2741,1612,-2469
148,17684,4476,2510,1161,-2077
148,17828,3812,1742,741,-1351
24,18012,3420,1280,938,-657
48,17748,3520,1602,1294,250
404,17688,3652,1987,1084,354
456,17412,3592,2195,90,383
144,17364,3504,2311,-1140,548
-380,16952,3236,2448,-1980,712
-1416,15812,1932,1819,-2401,972
-1580,15924,1312,1614,-2285,927
-1724,15852,684,1513,-2275,877
-1820,16028,204,1658,-2229,767
-1996,15324,-184,1176,-833,857
-1660,14936,-300,585,-386,550
-1216,15112,4,-335,-285,329
-872,15764,236,-919,-456,162
-616,16868,172,41,-486,64
-392,16804,152,747,-602,-11
-256,16464,24,734,-642,13
-224,16440,-16,389,-695,204
-236,16504,-120,-54,-856,449
-532,16912,-300,126,-674,704
-580,17048,-320,393,-632,861
-548,16972,-468,737,-754,869
-588,16788,-268,1089,-718,790
-592,16632,-416,1268,-719,739
