Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-9124,-5656,-13364,-73,-227,79
-9196,-5592,-13324,-99,-254,97
-9172,-5528,-13348,-134,-370,111
-9244,-5352,-13324,-166,-342,132
-9344,-5292,-13240,-12,-170,171
-9328,-5220,-13264,17,-128,234
-9276,-5296,-13220,60,-61,234
-9296,-5312,-13184,65,-75,361
-9284,-5288,-13196,148,-51,469
-9248,-5224,-13116,225,-7,552
-9064,-5300,-13016,268,8,563
-8992,-5252,-12972,296,-80,540
-8916,-5252,-12952,513,-395,656
-9320,-5684,-13108,204,-542,764
-9248,-5612,-13212,158,-394,776
-9148,-5632,-13104,224,-475,767
-9240,-5676,-13156,377,-574,675
-9204,-5648,-13080,500,-570,603
-9276,-5724,-13132,389,-578,638
-9380,-5844,-13056,346,-735,693
-9552,-6000,-13080,348,-904,671
-9960,-6188,-13244,170,-767,497
-10136,-6212,-13408,78,-694,325
-10324,-6156,-13368,115,-651,256
-10588,-6364,-13288,279,-667,212
-10892,-6820,-13720,239,-354,-456
-10776,-6588,-14084,374,-32,-1097
-10512,-6296,-14392,944,-52,-1729
-10560,-6048,-14880,1328,-136,-2276
-10600,-5520,-15820,2385,752,-1967
-10388,-5836,-16592,2329,846,-1397
-10204,-5932,-17084,2568,451,-1160
-11084,-5948,-18140,4226,-364,-860
-13360,-9900,-20504,6248,317,-2073
-14260,-10904,-21860,4637,1115,-2393
-15132,-10976,-22436,3548,2725,-3263
-16132,-10740,-23616,3602,5217,-3913
-16484,-12648,-24220,2435,9578,-3961
-16100,-13448,-24248,-108,12846,-3935
-15296,-13200,-23404,-2340,14251,-4339
-15108,-11836,-21604,-4827,16325,-5076
-15200,-11308,-21636,-5524,17830,-5370
-14856,-11068,-20884,-6013,19335,-5528
-13812,-11200,-20148,-5746,23518,-6027
-13148,-11872,-19356,-5165,24803,-6693
-12752,-12504,-18440,-5334,25487,-7949
-12576,-12968,-17512,-6211,25750,-9068
-12288,-12180,-16376,-9680,25988,-10270
-11764,-11548,-16116,-11717,26155,-10301
-11352,-10440,-15664,-13526,26841,-10078
-9912,-8384,-13884,-15097,30137,-9553
-8648,-7512,-12668,-15705,31118,-9595
-7456,-5800,-11952,-15295,31129,-9769
-6660,-5260,-11260,-14955,30889,-9792
-5224,-3752,-10028,-14016,31145,-9504
-4308,-3436,-9480,-13593,31272,-9434
-3428,-3124,-8876,-13294,31204,-9351
-2076,-2196,-8144,-13099,31089,-9179
-1320,-1684,-7764,-12549,30882,-9215
-720,-1404,-7780,-12031,30589,-9211
-216,-1172,-7372,-11844,30642,-9320
888,-524,-6668,-11413,29998,-9250
1404,-352,-6404,-11326,29731,-9019
1996,36,-6000,-11239,29214,-8950
2652,560,-5848,-10624,28590,-9165
3800,1256,-5388,-8340,26988,-9746
4404,1448,-5112,-7416,26183,-10481
4868,1536,-4480,-6556,26394,-11130
5752,2148,-3620,-5835,27100,-11701
9420,3412,-1964,-5710,27039,-11526
11516,4752,144,-5131,25084,-10458
12948,4660,-20,-5034,23116,-9282
14216,5688,808,-5220,21036,-7788
15528,6264,772,-5728,14723,-4623
15372,6616,860,-6310,12131,-3632
15456,6984,520,-6866,10026,-3423
15640,8148,500,-6073,8571,-3273
16596,8988,972,-3180,6745,-3045
17084,8868,1024,-2689,4887,-2178
16964,9044,1340,-2068,3837,-1342
17200,8788,1428,-1723,2958,-406
17760,8396,1416,-2029,-584,1405
17556,8360,1504,-2053,-1955,2252
17776,8356,1312,-2103,-3729,3025
