Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-7864,-4212,-14400,153,-408,114
-7824,-4236,-14616,-20,-485,240
-7776,-4220,-14408,-152,-640,390
-7932,-4192,-14432,-162,-917,197
-8064,-4212,-14584,92,-919,42
-8240,-4328,-14596,169,-738,-6
-8276,-4416,-14748,176,-580,-81
-8164,-4520,-14700,116,-526,-126
-8220,-4500,-14604,-26,-457,-172
-8188,-4464,-14452,-134,-310,-92
-8092,-4368,-14616,-283,-274,-90
-8128,-4280,-14420,-317,-226,-117
-8108,-4252,-14440,-230,-169,-163
-8028,-4132,-14540,-180,-276,-187
-8084,-4096,-14532,-132,-367,-216
-8240,-4180,-14588,44,-334,-227
-8292,-4236,-14708,-81,-292,-178
-8312,-4192,-14596,-247,-284,-80
-8264,-4120,-14536,-272,-262,-86
-8428,-4152,-14568,-127,-32,-28
-8324,-4080,-14504,-121,71,-67
-8196,-4064,-14440,-47,9,-53
-8196,-3992,-14412,120,-89,-123
-8196,-4216,-14304,282,-99,-152
-8116,-4264,-14340,176,-185,-73
-8144,-4248,-14356,-8,-302,-32
-8072,-4180,-14352,-107,-318,144
-8096,-4052,-14356,-20,-397,167
-8080,-4132,-14256,56,-445,132
-8092,-4236,-14312,155,-542,142
-8044,-4324,-14348,236,-676,135
-8216,-4448,-14316,-21,-656,244
-8292,-4424,-14324,-292,-589,403
-8180,-4312,-14272,-393,-640,436
-8208,-4196,-14304,-374,-712,326
-8148,-3904,-14512,-362,-377,402
-8060,-3724,-14764,-337,-449,395
-8380,-3520,-15120,6,-802,605
-8968,-3840,-15704,635,-979,903
-10792,-6848,-17172,906,1188,1683
-10484,-8192,-17684,-408,2600,1455
-10068,-9420,-18756,-2710,2484,1590
-10904,-9608,-20044,-7136,1658,2136
-12040,-6524,-21420,-11355,4597,2618
-11568,-4932,-22708,-10508,5582,1989
-11672,-3268,-22752,-7962,6071,624
-11996,-2572,-23720,-5197,7093,-510
-12376,-2100,-24220,-805,10289,-1953
-12028,-2012,-23924,619,11939,-2398
-11708,-1940,-24196,1663,13249,-2509
-11128,-2192,-24308,2244,13827,-2099
-10392,-4728,-26040,1883,15274,-1102
-10716,-5364,-26312,1112,15903,-1268
-10900,-5680,-25840,408,17582,-1633
-10980,-5216,-25476,986,19507,-2768
-10864,-7068,-23652,821,22969,-3724
-10244,-7472,-22896,184,24312,-4445
-9736,-8092,-22076,-1451,24890,-4846
-8912,-7372,-20928,-2527,25506,-5141
-8120,-7048,-19624,-5662,25832,-5367
-8048,-6272,-19492,-5892,25815,-5621
-8136,-5808,-18868,-5365,27099,-6039
-7464,-5540,-17612,-6022,29577,-6405
-6916,-5228,-16568,-5939,30628,-6689
-6524,-5292,-16520,-6126,31731,-6568
-5448,-4696,-14808,-6276,32461,-6901
-4416,-4432,-12912,-7326,31716,-6290
-4516,-4188,-12788,-7590,31392,-6129
-4412,-4016,-12408,-7320,31390,-6364
-3888,-4004,-11728,-7203,31678,-7054
-3068,-3848,-10052,-7543,32241,-7358
-2672,-3384,-9040,-8596,32704,-7069
-1908,-2548,-8212,-9039,32724,-7009
-868,-1348,-7016,-6900,32754,-7729
-528,-1172,-6040,-5860,32767,-8320
-68,-1108,-5320,-5174,32767,-9009
704,-516,-4460,-4353,32767,-10127
2144,148,-2776,-3639,32767,-12117
3188,656,-1828,-3156,32767,-13015
4308,1000,-972,-2653,32767,-13908
5176,1316,-188,-2674,31461,-14912
7184,2376,1300,-3643,28799,-16065
8392,2968,1732,-4825,27492,-16003
9448,4268,2192,-5223,26654,-15733
10124,5128,2616,-5316,25962,-14917
12952,7232,3836,-5423,23071,-12483
14108,8252,4740,-4474,20707,-11703
14680,8908,4868,-3089,17940,-10522
15068,9096,4856,-2157,15335,-9822
14860,9484,4704,-774,11044,-8825
14804,9548,4500,-376,9868,-8483
15092,9500,4216,-542,8823,-7946
15344,9820,4116,-1126,7796,-7348
15780,10780,4528,-2257,6446,-5481
16376,11364,4612,-2796,5504,-4372
16808,12084,4752,-2698,4191,-3306
17124,12296,4640,-2391,2911,-2100
17488,11840,3980,-1626,-111,332
17300,11456,3544,-1327,-1250,1117
16924,10664,3004,-1148,-2174,2164
16672,10208,2560,-1059,-2907,2858
16284,9020,1444,-564,-4301,3870
15984,8456,1056,-376,-4694,4222
15688,7800,456,-428,-4959,4586
15604,7348,208,-723,-5285,4863
15468,7144,-20,-418,-5752,5333
15624,7052,72,179,-6331,5529
15720,6848,44,843,-7091,5603
15472,6500,-268,1350,-8004,5717
15276,6184,52,1687,-8895,5712
14776,5652,116,2507,-9283,5965
15076,5976,512,2560,-9935,5961
14760,5572,244,2682,-11145,6320
14212,5416,252,2371,-11834,6648
13804,5044,236,2147,-13533,7356
13816,5320,320,2000,-14725,7392
13380,5568,84,3005,-15929,7375
12584,5460,-380,3814,-16610,7596
11332,5188,-620,3845,-16283,9049
11044,5020,-524,4522,-16223,9800
10800,4892,-48,5203,-16260,10169
10804,4676,384,6145,-16890,10890
9892,3612,712,7101,-20550,11447
9048,2968,672,7376,-22222,11962
8036,2164,504,7235,-23188,12875
6952,1468,468,6745,-23768,13290
5800,380,200,6448,-24656,13126
5912,-376,-316,6191,-25358,12605
6168,-1088,-1288,5153,-26935,12023
5696,-1020,-2252,3569,-28894,11516
3456,304,-4376,1626,-30924,11753
