Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-7792,-4600,-14624,-45,-155,-54
-7700,-4500,-14468,-108,-278,-170
-7816,-4564,-14412,-91,-391,-118
-7852,-4444,-14508,-147,-303,-3
-7904,-4480,-14600,-166,-230,87
-7836,-4376,-14576,-216,-164,62
-7740,-4432,-14568,-98,-164,33
-7976,-4440,-14776,-119,-208,27
-8036,-4416,-14756,-127,-1,68
-7948,-4384,-14652,-19,76,72
-7860,-4452,-14640,14,-91,35
-7920,-4472,-14652,41,-150,-99
-7952,-4560,-14744,114,117,-112
-7908,-4644,-14704,80,154,-26
-7752,-4752,-14704,-197,88,-18
-7812,-4536,-14544,-397,7,29
-7780,-4436,-14736,-440,0,-5
-7868,-4244,-14548,-191,166,-22
-7796,-4416,-14564,-10,43,-258
-7832,-4440,-14608,9,-76,-284
-7860,-4444,-14656,-12,-37,-261
-7888,-4400,-14564,51,-11,-255
-7784,-4244,-14556,1,-17,-164
-7808,-4400,-14580,-4,-102,-145
-7768,-4244,-14548,73,-93,-153
-7792,-4460,-14636,90,-181,-65
-8088,-4500,-14636,-221,-22,-82
-8204,-4288,-14756,-335,196,33
-8204,-4140,-14760,-189,387,26
-8128,-3956,-14716,302,533,53
-8280,-3912,-14780,1152,642,-95
-7964,-4976,-15588,2819,1725,-1040
-7360,-4716,-15868,4272,1971,-2018
-6872,-5764,-16696,5964,1364,-1979
-6704,-8232,-18648,4952,-29,-1695
-9384,-9888,-22340,118,-4080,-1791
-12796,-9572,-24408,299,-3754,-3311
-15540,-10124,-26800,952,-982,-5136
-17824,-9244,-27516,944,5012,-6811
-8956,-12932,-31832,-3476,14031,-4435
-10152,-10876,-31248,-8985,8980,-4496
-13912,-6500,-29512,-9239,11624,-5358
-14464,-4616,-28172,-7201,15718,-5849
-13316,-5256,-27096,-5297,18504,-4468
-12984,-6604,-25616,-5605,20266,-3646
-12088,-7172,-25172,-5847,21738,-3338
-11992,-7864,-23336,-4974,23545,-4835
-12420,-8056,-22624,-4964,25341,-5278
-12352,-8312,-21200,-5378,27306,-5346
-11700,-8280,-19428,-5849,29183,-5819
-9432,-7140,-16708,-6759,30227,-6661
-8784,-6700,-15916,-7051,29914,-6594
-8696,-6340,-15192,-7339,30332,-6565
-8304,-5892,-13564,-6423,32767,-7351
-7260,-5840,-12760,-5992,32767,-8708
-5884,-5004,-11440,-5667,32767,-10084
-4820,-4128,-10660,-5095,32767,-10573
-3040,-3148,-9088,-3888,32394,-10417
-2572,-3072,-8616,-3479,31953,-10217
-2072,-3100,-8116,-3470,31745,-9956
-1356,-3228,-7464,-3736,31833,-9739
-208,-2604,-6684,-5223,31040,-9298
248,-2024,-6136,-6497,31005,-8976
1052,-1116,-5492,-6676,31121,-8583
2104,-452,-4948,-6134,30955,-8626
3824,228,-3856,-5700,29406,-8690
4468,556,-3368,-5382,28545,-8660
5224,824,-2936,-5121,27861,-8631
5988,848,-2868,-5070,27109,-8542
7396,1224,-2184,-5458,25518,-8515
8052,1948,-1720,-5034,24879,-8833
9260,2688,-1096,-3913,24335,-9067
10524,3368,-676,-1946,23614,-9865
12828,4128,672,1516,21219,-10131
14476,3348,884,1348,18182,-9012
15456,3752,1512,386,14388,-8826
15112,3884,1328,412,11201,-7460
14620,3692,212,-3167,7215,-5917
14152,4820,-384,-3645,6600,-5546
14476,4820,-544,-3840,5985,-5116
14776,5548,-68,-4619,6078,-4180
16360,6436,-40,-2819,5439,-3593
17000,7332,568,-2291,4159,-3265
17020,7544,560,-1721,3441,-2441
17396,7712,640,-1342,2852,-1577
18048,7436,704,-984,659,128
17904,7348,624,-878,-402,1241
17720,6884,600,-777,-1023,1936
17856,6552,376,-346,-1670,2319
17744,6080,48,-89,-2367,2596
17620,5248,4,200,-3606,2972
17648,4952,-304,-316,-4597,3269
17544,5140,-276,-618,-5467,3641
17408,5172,-224,-563,-6358,4075
17244,5164,-172,-106,-7558,4375
16664,4680,-72,806,-9577,4895
16492,4488,188,873,-10855,5259
16384,4396,360,879,-12412,5512
15956,4408,440,1057,-14074,5849
14672,4332,360,2881,-17115,6135
13808,3816,148,3520,-18057,6274
13284,3180,132,3763,-18939,6512
12844,2836,-36,3793,-19969,6607
11612,2780,-380,4218,-22390,6143
11012,2932,-440,4686,-23678,5957
10552,2992,-628,5136,-25495,5532
9544,3044,-712,5867,-27606,4996
7660,3224,-396,9520,-31139,2736
6492,2424,-616,12795,-32768,721
5364,912,-1076,15715,-32768,-1789
3976,-724,-1728,18552,-32768,-4383
1732,-4060,-3608,19783,-32768,-7738
648,-5468,-5164,17679,-32768,-7957
-636,-6032,-6384,13929,-32768,-6789
-1704,-5332,-7332,10642,-32768,-4673
-4428,-3904,-10780,6149,-32768,1095
-5444,-2968,-11984,6419,-32605,3446
-5912,-3040,-13088,8521,-29708,4789
-5868,-3828,-14032,11003,-26642,5710
-5856,-5916,-15396,12709,-21765,7056
-5844,-6272,-15292,13078,-20551,7582
-5852,-6600,-15248,13064,-19643,8211
-5692,-7056,-15304,13076,-19483,8634
-6272,-8508,-16556,12172,-19654,8637
-6544,-9436,-17740,10921,-19715,8170
-7536,-9616,-18548,9436,-19480,7531
-9392,-8424,-19404,9897,-15388,6020
-9040,-8604,-19168,11077,-12848,5700
