Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-10316,-4636,-12912,-189,-26,65
-10248,-4640,-12784,-109,-57,123
-10368,-4588,-12788,106,-75,-50
-10256,-4640,-12956,95,-132,-42
-10364,-4672,-12768,40,-73,76
-10328,-4648,-12784,-51,-14,66
-10252,-4740,-12796,113,-221,-18
-10412,-4796,-12888,-12,-244,-35
-10456,-4780,-12880,-244,-70,-12
-10416,-4552,-12860,-248,8,52
-10492,-4532,-12884,-76,-118,-122
-10448,-4492,-12756,17,-69,-126
-10468,-4604,-12900,80,-5,-95
-10408,-4552,-12876,-46,-60,-70
-10508,-4552,-12912,-81,105,-92
-10436,-4480,-12824,52,100,-92
-10384,-4604,-12836,95,110,-85
-10416,-4620,-12932,14,116,-106
-10448,-4644,-12880,-8,213,-118
-10292,-4564,-12880,68,226,-165
-10312,-4556,-12872,141,134,-154
-10364,-4592,-12736,152,45,-216
-10356,-4576,-12848,169,99,-144
-10336,-4684,-12720,32,120,-71
-10272,-4628,-12856,-5,112,21
-10232,-4636,-12860,-24,38,58
-10244,-4576,-12760,32,-13,68
-10276,-4616,-12804,-24,-47,76
-10312,-4660,-12788,41,-107,114
-10236,-4632,-12672,-61,-208,137
-10300,-4572,-12768,-63,-240,168
-10200,-4520,-12644,155,-340,134
-10204,-4496,-12652,151,-486,208
-10196,-4460,-12580,130,-486,335
-10144,-4428,-12540,98,-613,477
-9884,-4284,-12176,327,-955,689
-9820,-4048,-12080,516,-1238,888
-9664,-3736,-11816,738,-1617,1114
-9500,-3468,-11620,927,-1924,1610
-9380,-2440,-11412,1188,-2964,3413
-9556,-3068,-11268,2157,-2943,4143
-9432,-3576,-11196,1834,-3467,3855
-9488,-3564,-12124,1425,-4905,3713
-13164,-4596,-16816,1628,-3820,-1391
-14600,-4436,-14152,2133,-2373,-687
-14272,-3584,-16824,4088,1593,-1597
-12976,-3472,-16076,3099,2268,1679
-11248,-3748,-15224,4801,941,1280
-12608,-5328,-16244,5038,-289,1310
-15184,-7728,-17540,4195,528,1052
-17028,-9888,-17132,2327,2091,-55
-19124,-10344,-20960,813,4737,-3551
-20024,-10068,-22128,1102,6081,-4583
-21212,-10028,-23324,2219,9108,-5331
-21456,-10880,-23296,3045,13144,-6303
-17980,-12332,-22952,3626,19823,-6654
-15424,-12588,-23532,-213,18338,-5911
-15560,-11664,-23404,-3794,16171,-5680
-16680,-8116,-22396,-5584,19769,-6754
-16408,-7496,-21964,-5146,21481,-6212
-16168,-8128,-21360,-3844,22409,-5458
-16020,-10796,-20452,-2551,25503,-6197
-16120,-12416,-20616,-4378,27830,-6934
-15876,-11408,-20268,-5219,29004,-7891
-15380,-11024,-18872,-6104,29955,-8993
-15080,-10776,-16716,-8570,31704,-9588
-14228,-9624,-15896,-10355,32767,-9150
-13404,-8620,-14976,-11482,32767,-8619
-12056,-7180,-12872,-11624,32767,-7896
-10992,-6264,-12160,-11496,32767,-7937
-9876,-5768,-11288,-11452,32767,-7844
-8740,-5160,-10316,-11622,32767,-7722
-7248,-3744,-8516,-12595,32767,-6611
-6236,-3280,-7780,-12889,32767,-6021
-5252,-2632,-7404,-13064,32767,-5569
-3720,-1580,-6952,-12579,32767,-5752
-3036,-700,-6904,-12755,32767,-5952
-2300,640,-6452,-12233,32767,-6258
-1880,1740,-6356,-11287,32767,-6127
-932,3560,-4116,-7520,32767,-5486
216,3584,-2952,-4783,32767,-5702
1604,3212,-1728,-2470,32767,-6341
2964,3076,-284,-212,32767,-7156
5324,1948,1432,3066,32767,-8402
6664,1324,1804,3197,32767,-8585
7860,608,2356,2054,32767,-8221
9284,536,3068,760,32767,-7956
11212,736,4240,-1233,31149,-7822
12208,824,4696,-1784,30002,-7750
13476,1168,5440,-2164,28320,-7633
14640,1516,5812,-2407,26086,-7549
16116,2008,6216,-3674,20622,-6623
16524,2336,6360,-4306,18056,-6102
16496,2620,6440,-4350,15720,-5569
16532,2792,6468,-4266,13875,-5330
16660,3412,6496,-3940,10847,-5441
16992,4008,6592,-3881,9430,-5323
17216,4696,6616,-3371,8156,-5191
17788,5232,7196,-2666,6690,-4983
18580,6104,7232,-1123,3267,-4211
18820,6388,7276,-73,1285,-3865
18796,6728,7100,897,-651,-3607
18644,6984,6872,2147,-2204,-3257
18320,6796,6240,3060,-4677,-1933
18048,6104,6968,2576,-5694,-1029
17944,6172,5920,3039,-6700,-578
17644,5688,5208,1974,-7720,83
17452,6256,4716,570,-10595,1393
16996,6900,4472,771,-11790,1898
16684,6996,4236,1214,-12679,2560
16232,7004,3900,1836,-13606,3338
15760,6748,3572,3498,-15496,4954
15568,6256,3640,4440,-16499,5796
15388,5564,3332,5299,-17806,6387
15028,4436,3228,5586,-19075,6808
13708,3312,2344,4278,-22644,7269
13044,3432,1940,3297,-23840,7494
12484,3540,1600,3058,-24905,7655
12096,3944,1608,3332,-25795,7674
10860,4032,868,4430,-28193,8230
9956,3956,436,4799,-29161,8680
8712,3592,76,5012,-29604,9316
7752,3052,-396,4933,-29777,9739
6776,1332,-1580,4819,-31432,8814
5844,160,-2512,4324,-32508,7253
4636,-484,-3372,3759,-32768,5158
3360,-828,-4068,3778,-32768,2791
948,-1480,-6296,4954,-32768,-1829
-196,-1400,-7436,5696,-32175,-3025
-672,-1220,-8324,6937,-30977,-2707
-1052,-1980,-9392,7737,-30270,-1024
-2888,-2772,-11772,4456,-31455,5662
-3708,-2340,-12440,3579,-31760,8062
-4628,-2160,-13408,5327,-31291,8523
-5148,-2604,-14508,8213,-30209,8612
-5340,-4216,-16180,11772,-28459,9025
-6156,-5704,-16588,12250,-27535,8958
-6880,-6688,-17140,11725,-26406,9042
-7428,-6944,-17600,10278,-25235,9557
-7180,-6456,-18288,6490,-22335,10107
-6496,-6392,-19044,6753,-22006,9669
-6364,-7028,-19480,7240,-21986,7431
-7296,-7516,-20200,8058,-21636,5481
-8656,-7760,-21128,8568,-17859,3637
-8508,-8060,-21644,8295,-15806,3872
-7540,-8552,-21708,7513,-14347,3904
-7264,-10476,-23436,6392,-15167,2138
-8296,-11396,-24852,4653,-15112,881
-9216,-11244,-25876,2855,-13715,-315
-9512,-10056,-26176,2074,-11671,-1270
-8800,-8256,-25820,2320,-8079,-2241
-8424,-7720,-25032,2425,-6715,-2338
-7844,-7468,-24076,2316,-5388,-2191
-7328,-7416,-22832,1726,-4386,-1685
-6092,-6752,-20544,197,-2830,-784
-5512,-6316,-19384,-118,-2101,-672
-4788,-5676,-18212,-197,-1804,-845
-4148,-5072,-17632,-161,-1996,-893
-3972,-4008,-16436,-529,-2776,-776
-4136,-3912,-16368,-1087,-2427,-426
-3952,-3096,-15752,-197,-2188,-188
-3776,-3456,-15620,209,-2194,-107
-3756,-4192,-15612,667,-3238,343
-4004,-4132,-16092,-86,-3712,833
-4284,-4272,-16548,-128,-4367,1021
-4792,-4648,-17112,-210,-4732,1177
-5556,-4928,-17932,566,-4440,1101
-5836,-5344,-17976,1307,-4271,902
-6360,-5996,-18132,1699,-3999,797
-6812,-6648,-18388,1474,-3535,834
-7324,-7352,-18096,87,-2334,735
