Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-2416,-5980,-15596,110,-116,-58
-2480,-6016,-15616,39,-234,-80
-2624,-5916,-15548,64,-108,-37
-2560,-6012,-15600,56,21,8
-2476,-6032,-15628,-125,34,67
-2548,-5964,-15496,-71,-21,-18
-2492,-5952,-15640,-15,-48,-41
-2540,-6024,-15608,5,-10,-7
-2492,-6028,-15580,25,41,-85
-2540,-6092,-15652,44,-6,-119
-2688,-6252,-15764,-299,54,-66
-2656,-6036,-15568,-506,180,16
-2492,-5936,-15564,-449,159,-45
-2468,-5836,-15488,-200,26,-137
-2488,-5864,-15516,-89,17,-106
-2424,-5996,-15524,-323,124,63
-2388,-5964,-15464,-520,6,113
-2364,-5888,-15548,-588,-146,100
-2424,-5732,-15488,-454,-232,104
-2416,-5760,-15512,-210,-260,46
-2556,-5820,-15644,-11,-257,56
-2568,-5900,-15572,11,-237,69
-2588,-5920,-15680,54,-278,32
-2608,-5932,-15684,-8,-306,-23
-2588,-5912,-15592,-44,-213,42
-2668,-6100,-15688,-214,-34,40
-2760,-6060,-15696,-412,148,62
-2580,-5928,-15552,-325,230,97
-2512,-5772,-15600,-108,118,-15
-2544,-5784,-15672,90,10,-74
-2516,-5884,-15508,255,14,-50
-2532,-6048,-15580,131,-21,-48
-2576,-6112,-15576,-98,-59,-44
-2604,-6192,-15600,-369,5,3
-2516,-5896,-15464,-563,52,47
-2516,-5916,-15600,-332,-92,-44
-2540,-5872,-15616,-289,-72,-25
-2432,-5924,-15600,-278,-41,73
-2476,-5876,-15488,-355,-136,108
-2448,-5744,-15536,-313,-329,15
-2648,-5764,-15468,-122,-288,97
-2608,-5884,-15556,-56,-253,72
-2652,-6016,-15428,-249,-309,89
-2608,-5844,-15592,-376,-295,195
-2608,-5840,-15588,-509,-365,363
-2612,-5716,-15688,-747,-661,896
-2752,-5744,-15864,-1017,-759,1275
-2656,-5472,-16024,-1115,-718,1479
-2496,-5108,-16008,-839,-1057,2176
-1720,-5784,-15816,46,-2473,1494
-1464,-5864,-16072,208,-4027,1452
-1564,-5696,-16000,134,-5169,1510
-1620,-5808,-16076,-76,-5945,1945
-2192,-6372,-16720,-2250,-7335,2988
-2756,-6436,-17452,-2425,-8342,2500
-3408,-7176,-19320,-2751,-7969,1739
-4420,-6960,-20320,-3748,-6346,1645
-6092,-6908,-22568,-2717,-3919,1099
-6720,-6484,-23120,-2106,-3858,559
-7592,-5544,-23256,-676,-3385,-247
-8816,-5316,-23780,2047,-1589,-838
-4388,-11376,-26744,5033,5003,-881
-3704,-13252,-27648,1289,717,-2575
-6516,-12228,-27376,-2186,89,-4669
-8680,-10696,-27708,-5677,3888,-5155
-9400,-7052,-27952,-9518,9563,-2570
