Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-5916,-5724,-14876,-335,-156,63
-5996,-5548,-14888,-240,-253,-15
-6264,-5596,-15124,-6,-34,-32
-6160,-5608,-15036,21,117,-55
-5984,-5576,-14796,49,157,38
-5888,-5588,-14884,59,40,-26
-5964,-5684,-14896,83,-18,19
-5816,-5620,-14756,100,147,94
-5844,-5608,-14800,136,-49,83
-5816,-5788,-14752,-58,-232,100
-5928,-5752,-14828,-127,-236,106
-6008,-5652,-14792,-110,-71,162
-6016,-5864,-15028,-22,-298,27
-6204,-5888,-14900,-159,-161,-6
-6184,-5708,-14928,-117,83,24
-6012,-5600,-14880,-24,65,-38
-6080,-5764,-14888,-233,50,-5
-6052,-5652,-14772,-199,246,30
-5888,-5536,-14704,-138,164,28
-5916,-5568,-14808,-159,-82,-11
-5968,-5444,-14712,17,-75,-18
-5964,-5548,-14772,94,-183,26
-6112,-5684,-14880,-62,-305,58
-6100,-5576,-14900,-187,-164,125
-6024,-5612,-14912,-44,-152,100
-6156,-5792,-14976,-106,-177,81
-6244,-5588,-15012,-67,42,72
-6048,-5456,-14956,34,109,77
-5992,-5572,-14852,105,-47,77
-6088,-5620,-14828,162,-103,90
-6112,-5708,-14712,-67,-33,216
-5996,-5576,-14728,-302,-4,253
-5860,-5288,-14700,-303,-140,399
-5992,-5156,-14668,284,-439,513
-6116,-5276,-14688,376,-384,702
-6088,-5536,-14528,299,-396,611
-6080,-5400,-14584,317,-511,617
-6364,-5524,-14604,89,-579,773
-6408,-5568,-14632,-17,-365,859
-6308,-5456,-14444,48,-300,817
-6120,-5404,-14352,223,-285,784
-6100,-5548,-14380,535,-691,720
-6204,-5380,-14304,537,-717,770
-6252,-5504,-14488,537,-704,869
-6120,-5388,-14356,312,-773,914
-6264,-5340,-14444,342,-894,949
-6376,-5356,-14548,357,-740,1027
-6320,-5232,-14368,218,-492,1170
-6108,-5172,-14292,179,-402,1360
-5896,-5292,-14028,359,-786,1277
-5888,-5220,-14084,339,-984,1366
-5880,-5308,-13976,384,-1239,1442
-5920,-5528,-14056,147,-1440,1370
-6100,-5528,-14232,-377,-1327,1450
-5920,-6016,-14028,-795,-1264,1541
-5780,-4708,-14356,855,-2105,790
-6780,-6220,-15548,1168,-2780,380
-7636,-4964,-16424,4022,-2508,-1534
-8340,-7172,-18280,3964,-2431,-1302
-9184,-7840,-19732,2282,-2080,-910
-9848,-8416,-21172,603,-1256,-39
-11408,-8604,-23948,-403,-825,373
-12364,-9184,-25088,1402,-3,-767
-13468,-10244,-26372,3566,1198,-2254
-14460,-11424,-26740,4370,2771,-3549
-14092,-11304,-26440,3466,8648,-4721
-13120,-11748,-25656,3078,11664,-4652
-10812,-12936,-25568,816,13983,-4153
-9256,-12844,-25900,-2913,12832,-4465
-10620,-9180,-24272,-6549,13954,-4929
-10460,-7476,-23424,-5785,16300,-5245
-9200,-6484,-22596,-4201,17342,-5393
-8588,-7044,-20844,-1550,19695,-5432
-8104,-7072,-19884,-405,20925,-5458
-7316,-7272,-19068,892,21113,-5815
-6856,-8320,-18284,559,20744,-5872
-6728,-7792,-16256,-1677,21104,-5371
-7176,-9116,-15776,-4626,22737,-5133
-7212,-8324,-15512,-3498,22808,-5664
-6832,-8208,-15048,-4207,23963,-8005
-5352,-6080,-13228,-5057,25629,-8587
