Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-1868,-2716,-16664,-46,80,35
-1808,-2748,-16540,26,52,30
-1892,-2788,-16608,12,-62,-11
-1984,-2864,-16748,-63,-87,30
-1952,-2792,-16616,-153,23,2
-1848,-2700,-16684,-23,36,-70
-1880,-2736,-16576,3,-78,-52
-1988,-2732,-16576,5,-75,-38
-1968,-2804,-16764,-135,-15,-49
-1904,-2660,-16676,-160,28,-4
-1972,-2732,-16636,60,-84,61
-2044,-2860,-16720,-83,26,15
-2008,-2868,-16836,-144,-11,2
-2056,-2884,-16768,-95,43,6
-1992,-2780,-16768,-69,161,-27
-1872,-2616,-16576,15,147,-48
-1856,-2672,-16564,-96,53,64
-1832,-2660,-16544,-196,-16,114
-1844,-2572,-16668,-112,-124,47
-1924,-2560,-16768,-26,-110,26
-1900,-2488,-16628,116,-76,25
-1784,-2340,-16544,400,-44,-414
-2124,-2652,-16612,814,-50,-27
-1996,-3144,-16780,159,84,208
-1804,-3000,-16724,-604,-43,291
-1960,-2392,-16536,50,-96,62
-1996,-2676,-16736,336,-136,-37
-2060,-2816,-16748,195,-85,16
-2132,-2816,-16768,-97,-14,87
-2032,-2752,-16632,-161,178,227
-1984,-2676,-16664,38,-6,-43
-2000,-2788,-16660,59,-32,-71
-1976,-2760,-16720,-51,23,0
-2008,-2756,-16628,-55,59,87
-1980,-2748,-16516,-77,40,96
-1888,-2816,-16588,-14,-27,25
-1856,-2920,-16552,2,-34,15
-1964,-2884,-16544,-8,-175,0
-2072,-3092,-16632,-128,-145,28
-2060,-3196,-16668,-223,-104,30
-1988,-3596,-16672,-161,-65,-77
-1988,-3956,-16332,-105,-34,-157
-1948,-4716,-16404,-127,-69,-312
-1920,-5428,-16264,-461,-79,-594
-1916,-5632,-16204,-915,-95,-917
-1904,-6044,-15972,-1397,-272,-1563
-1936,-6356,-15936,-1674,-350,-1911
-1936,-6952,-15776,-2073,-490,-2082
-1940,-7220,-15400,-2239,-925,-2814
-2312,-7844,-15544,-2673,-1118,-3470
-2280,-8076,-15456,-2499,-1267,-4087
-2460,-9152,-15328,-2815,-1203,-5014
-2524,-9716,-15296,-3704,-1373,-6170
-2840,-8944,-15116,-5694,-1687,-8703
-2820,-8016,-15104,-6280,-1763,-9660
-2668,-6832,-15344,-6852,-2115,-10560
-2828,-5476,-15528,-7097,-2540,-11051
-3484,-3972,-15760,-6932,-2626,-11669
-3696,-3680,-15540,-6913,-2554,-11812
-3948,-3592,-15704,-7114,-2616,-12086
-3992,-3344,-15688,-7295,-2611,-12536
-4152,-2024,-16064,-8066,-2798,-13310
-4272,-1064,-16372,-8399,-3121,-13490
-4756,-408,-16520,-8652,-3117,-13396
-5092,308,-16532,-8587,-2889,-13257
-5512,512,-16504,-7292,-2008,-12984
-5540,-28,-16360,-7046,-1597,-13096
-5196,-192,-16256,-7395,-1349,-13341
-5024,80,-16016,-7765,-1527,-13333
-4880,796,-15948,-7856,-1887,-13684
-5004,928,-16080,-8044,-1813,-13675
-5000,1424,-15564,-7677,-1894,-13458
-5196,908,-15560,-7333,-1949,-13214
-5228,276,-15848,-8480,-1911,-13384
-5496,156,-15848,-9166,-1951,-14128
-5620,648,-15928,-9992,-1723,-14831
-5456,1824,-16044,-10306,-1543,-15382
-5620,4148,-15480,-9534,-1391,-15261
-5068,4612,-15692,-8537,-1958,-15156
-5440,4832,-15816,-8218,-1600,-14798
-5536,5280,-15524,-7919,-826,-14028
-4568,6040,-15316,-6905,-820,-13180
-4392,6612,-15216,-6840,-966,-12750
