Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-2832,-2692,-16700,56,-51,-86
-2764,-2740,-16720,-55,-104,-84
-2852,-2648,-16716,-103,-171,-71
-2868,-2556,-16848,-116,-149,-107
-2904,-2528,-16812,-19,-132,-59
-2932,-2520,-16872,0,-131,-114
-2988,-2496,-16896,-63,-144,-71
-3008,-2520,-16844,-97,-120,-23
-3016,-2616,-16912,-25,-35,16
-2960,-2608,-16968,-54,-55,21
-3040,-2684,-16920,22,-14,-5
-3040,-2708,-16932,-78,0,-57
-2996,-2608,-16840,23,76,-23
-3008,-2660,-16924,32,167,12
-2916,-2584,-16924,42,160,-44
-2912,-2636,-16864,42,182,-21
-2780,-2620,-16596,86,207,29
-2784,-2600,-16708,63,108,32
-2736,-2592,-16620,-11,24,23
-2816,-2636,-16616,-72,-86,9
-2848,-2588,-16780,-42,-153,-1
-2972,-2748,-16872,-44,97,-16
-2876,-2780,-16820,9,165,-17
-2820,-2652,-16864,51,133,-14
-2876,-2636,-16724,86,109,-113
-2812,-2696,-16740,116,110,-41
-2764,-2620,-16652,-33,90,-44
-2812,-2532,-16568,2,89,-59
-2740,-2532,-16536,53,131,24
-2672,-2064,-16280,465,184,-75
-2700,-2140,-16284,647,125,-3
-2556,-2392,-16176,367,-16,148
-2592,-2352,-16012,221,-227,176
-2544,-2224,-15936,132,-541,393
-2448,-2220,-15744,196,-739,383
-2528,-2160,-15612,373,-936,384
-2448,-1980,-15280,339,-1068,388
-2264,-1312,-14356,434,-1879,474
-2104,-1020,-13844,538,-2313,588
-1812,-644,-13100,553,-2951,751
-1620,-340,-12164,452,-3674,968
-1264,40,-10028,662,-5182,1291
-1160,152,-9160,855,-6355,1426
-1124,-84,-8288,760,-7676,1871
-1212,220,-6996,1146,-8894,1886
-1480,184,-5816,2159,-13437,2142
-2416,-116,-5324,2351,-15465,2514
-3072,-600,-5384,2459,-17424,2448
-3812,-944,-5232,2093,-19785,2533
-6292,-1360,-5208,2844,-22981,2349
-6988,-1764,-4944,3252,-24302,2062
-7764,-2664,-4404,4020,-26916,1512
-8576,-3596,-4512,4470,-29707,1586
-12632,-4464,-5444,4838,-28381,757
-12760,-5260,-5040,4345,-28397,1083
-13132,-5472,-4908,3029,-30084,1475
-14184,-5508,-4564,1843,-31683,1489
-16144,-5288,-3956,-53,-32768,2173
-17280,-5172,-4108,-1151,-32768,2758
-18700,-5308,-4256,-2602,-32768,3606
-20976,-5304,-4960,-5573,-32768,4289
-21612,-4368,-4948,-6918,-32768,4528
-22224,-3308,-4664,-7519,-32768,5039
-22860,-1892,-4148,-7623,-32768,5461
-24708,132,-2624,-3796,-32768,6791
-25104,712,-1816,-224,-32768,7291
-25660,652,-1360,3609,-32768,7509
-27440,-768,-1368,8311,-32768,8357
-28216,-1340,-1064,9167,-32768,8595
-28580,-1372,-768,10020,-32768,8740
-28268,-1444,-584,10955,-32768,8779
-27644,-1848,-276,11871,-32768,7799
-27168,-1732,-40,11630,-31788,7512
-25932,-2276,352,9807,-28918,7284
-24560,-1776,1352,8395,-25311,6527
-23800,-1048,1636,7366,-22916,6012
-23056,-864,1680,6745,-21413,5755
-22792,-756,1416,5708,-19295,5456
-21580,-372,1360,3898,-14902,4080
-21104,-264,1356,3550,-12648,3037
-20704,-248,1408,3711,-10400,1839
-20528,-156,1268,3620,-8193,771
-20256,-252,724,3007,-4543,-933
-20308,20,512,2176,-3144,-1489
-20336,-20,252,1006,-1599,-1941
-20364,356,84,112,-40,-2285
-20748,400,-432,-898,4085,-3089
-20796,168,-608,-999,6193,-3885
-21140,-284,-888,-1092,8403,-4597
-21152,-616,-924,-2142,10608,-4877
-20672,-544,248,-2819,13544,-5138
-20260,-616,476,-2361,14195,-5315
-20672,-1040,240,-1440,15117,-5583
-20776,-1852,176,-1307,16216,-5800
-21504,-2276,-1020,-1625,17908,-5873
-22132,-2616,-1684,-1362,19979,-5942
-22068,-3196,-1820,-1652,22395,-5900
-22056,-5076,-284,-2086,27417,-6502
-21132,-5900,420,-3213,28500,-7372
-20344,-4912,512,-4345,26629,-7912
-20952,-3992,280,-5240,24822,-8050
-22576,-1636,-2060,-5469,23160,-6747
-23344,-788,-3188,-4452,23177,-5865
-24208,-1012,-4332,-3940,23843,-5196
-24804,-1192,-4860,-2602,26814,-4898
-24600,-1308,-4428,-1589,28247,-5535
-24540,-1236,-4048,99,29284,-6309
-24080,-1548,-4220,1013,29617,-7230
-23984,-1920,-4180,3350,30918,-7711
-23652,-2264,-4076,3802,31199,-7667
-23384,-2888,-3972,3604,31666,-7610
-22048,-3656,-3900,2954,31585,-7709
-21220,-3780,-3696,2427,31060,-7594
-20392,-3944,-3612,1799,30230,-7240
-19672,-4384,-3640,1042,29462,-7030
-18208,-4892,-4048,-100,27716,-7441
-17448,-5272,-4664,-794,27047,-7845
-16896,-4880,-5208,-1962,26492,-7864
-16244,-4628,-6528,-4606,25117,-6917
-15768,-4124,-7140,-5780,25210,-6510
-14728,-3080,-7160,-5926,24976,-6044
-13236,-2920,-7664,-3447,23866,-6314
-12592,-2760,-8468,-3112,22567,-6287
-12408,-3092,-9372,-3349,21448,-6028
-12204,-2976,-10148,-3645,21225,-5954
-10680,-2444,-9848,-1458,21593,-6286
-9648,-2456,-9340,598,21981,-7071
-8492,-2700,-8864,2093,21666,-7191
-6296,-4052,-8944,-89,18554,-5817
