Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1012,-4292,-16656,-78,64,-112
1020,-4304,-16524,-51,84,-87
1092,-4244,-16496,-22,64,-47
1032,-4376,-16596,-36,-39,-120
1048,-4436,-16472,-50,25,-126
1108,-4320,-16512,-64,-1,-66
1084,-4400,-16568,-86,-119,-114
1080,-4308,-16540,-111,-146,-107
992,-4236,-16532,-117,-15,-135
1008,-4228,-16552,67,68,-128
1068,-4288,-16420,59,55,-147
1084,-4308,-16520,51,-27,-139
1056,-4300,-16516,7,-56,-129
1072,-4376,-16600,-50,13,-130
1044,-4276,-16564,45,-1,-135
984,-4220,-16604,17,57,-131
976,-4204,-16672,29,109,-126
1060,-4264,-16616,54,115,-165
1032,-4264,-16608,98,87,-145
1104,-4328,-16492,108,55,-144
1052,-4328,-16504,30,98,-180
1196,-4392,-16428,-37,42,-199
1080,-4316,-16468,-79,29,-172
1124,-4232,-16356,-138,-22,-152
1124,-4204,-16416,-66,-84,-166
1012,-4236,-16552,-74,-222,-183
904,-4248,-16712,-131,-205,-155
920,-4244,-16656,-40,-85,-177
864,-4192,-16624,85,78,-208
1052,-4288,-16616,35,33,-176
956,-4276,-16696,-63,-41,-145
928,-4136,-16636,-111,110,-119
1008,-4108,-16336,-67,188,-76
1068,-4076,-16436,52,132,-52
1240,-4112,-16024,-43,-3,33
1256,-4140,-15816,-129,-145,55
1308,-4044,-15740,-217,-366,24
1368,-3752,-15280,-84,-452,-20
1592,-3768,-14924,94,-707,-62
1880,-3604,-14180,-503,-1939,101
1924,-3216,-14000,-796,-2676,241
1896,-2776,-13808,-829,-3272,460
1816,-2232,-13432,-577,-3731,537
2068,-1236,-12460,576,-4539,576
2292,-740,-11668,1460,-5098,597
2636,-356,-10500,2395,-5898,755
2848,-100,-9544,3383,-7039,994
2952,400,-7792,4049,-9895,2782
2860,-80,-6764,4161,-11571,3706
2512,-712,-6016,3520,-13370,4473
2296,-720,-5868,2307,-15972,5168
-232,192,-6584,829,-21353,7212
-1840,424,-6944,849,-22563,8249
-2700,756,-7084,1268,-23549,8945
-3360,1028,-6616,2566,-24778,9386
-5184,-60,-5416,5478,-27132,10398
-5920,-1068,-5016,5354,-28898,11359
